0	1	2	3	4	5	6	7	8	9	10	11	density
EIF3C	HIPK3	POLG2	NCBP1	CENPBD1	LRRN2	RPL32	MAPK14	RFC3	RPS15A	FAM174B	PAM16	5
EIF3C	NAT10	POLG2	NCBP1	DBNDD1	PPFIA4	RPL32	MAPK13	N4BP2L2	RPS15A	IDH2	TRAP1	6
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LRRN2	ATG7	RPL10A	RFC3	RPS15A	TICRR	PAM16	6
SLC5A11	NAT10	POLG2	NCBP1	PRDM7	PRELP	RPL32	STK38	RFC3	RPS15A	TICRR	TRAP1	6
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LRRN2	LSM3	RPL10A	RFC3	RPS15A	FES	PAM16	6
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LRRN2	IRAK2	RPL10A	FOXO1	RPS15A	TTLL13	PAM16	7
EIF3C	NAT10	POLG2	ANKS6	RP11-356C4.2	ELK4	RPL32	STK38	RFC3	NPIPP1	TTLL13	PAM16	7
EIF3C	NAT10	POLG2	NCBP1	PRDM7	PRELP	RPL32	RPL10A	RFC3	RPS15A	PRC1	TRAP1	7
EIF3C	NAT10	POLG2	NCBP1	PRDM7	PRELP	RPL32	MDGA1	RFC3	RPS15A	TTLL13	TRAP1	7
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LRRN2	RPL32	RPL10A	RFC3	RPS15A	AP3S2	TRAP1	7
EIF3C	NAT10	POLG2	NCBP1	C16orf3	LRRN2	RPL32	RPL10A	NHLRC3	RPS15A	RCCD1	TRAP1	7
EIF3C	NAT10	POLG2	NCBP1	DEF8	REN	RPL32	RPL10A	COG6	RPS15A	RP11-697E2.6	TRAP1	8
EIF3C	NAT10	POLG2	NCBP1	TCF25	LRRN2	RPL32	RPL10A	WBP4	RPS15A	FES	TRAP1	8
EIF3C	NAT10	POLG2	NCBP1	CENPBD1	LRRN2	CHCHD4	RPL10A	RFC3	RPS15A	C15orf32	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LRRN2	RPL32	MAPK14	CCDC169-SOHLH2	RPS15A	WDR93	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	CENPBD1	LRRN2	RPL32	RPL10A	RFC3	RPS15A	C15orf32	CORO7	8
CCDC101	NAT10	POLG2	NCBP1	DEF8	LRRN2	RPL32	RPL10A	FOXO1	C16orf88	GABARAPL3	TRAP1	8
EIF3C	NAT10	POLG2	ZNF782	TCF25	PRELP	RPL32	RPL10A	RFC3	RPS15A	KIF7	TRAP1	8
EIF3C	BBOX1	POLG2	NCBP1	PRDM7	LRRN2	RPL32	RPL10A	MTRF1	RPS15A	WDR93	TRAP1	8
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LRRN2	RPL32	RPL10A	RFC3	RPS15A	FANCI	TRAP1	8
