0	1	2	3	4	5	6	7	8	9	10	11	density
EIF3C	NAT10	RPS6KB1	NCBP1	C16orf3	LRRN2	IRAK2	STK38	RFC3	PARN	NR2F2	PAM16	4
EIF3C	NAT10	RPS6KB1	NCBP1	DBNDD1	SYT2	NUP210	STK38	RFC3	ARL6IP1	MESP1	TRAP1	5
TUFM	NAT10	RPS6KB1	NCBP1	PRDM7	LRRN2	LSM3	STK38	RFC3	PARN	TTLL13	PAM16	5
EIF3C	KCNA4	POLG2	MRPL50	PRDM7	LRRN2	FGD5	STK38	RFC3	ARL6IP1	ZNF710	PAM16	5
EIF3C	NAT10	POLG2	NCBP1	PRDM7	PPP1R12B	IRAK2	STK38	EXOSC8	ARL6IP1	CHD2	PAM16	5
EIF3C	NAT10	RPS6KB1	NCBP1	C16orf3	LRRN2	NUP210	STK38	RFC3	PARN	ZNF710	PAM16	5
EIF3C	NAT10	RPS6KB1	HIATL2	MC1R	NUAK2	NUP210	STK38	RFC3	PARN	ZNF710	PAM16	5
EIF3C	CAPRIN1	POLG2	NCBP1	MC1R	PPP1R12B	IRAK2	PPIL1	RFC3	ARL6IP1	ZNF710	PAM16	6
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LRRN2	IRAK2	STK38	VWA8	ARL6IP1	ZNF710	TRAP1	6
EIF3C	NAT10	POLG2	NCBP1	MC1R	LRRN2	IRAK2	STK38	RFC3	ERCC4	ZNF774	CORO7-PAM16	6
EIF3C	IMMP1L	POLG2	NCBP1	SPIRE2	LRRN2	VGLL4	STK38	RFC3	PARN	ZNF710	PAM16	6
EIF3C	NAT10	POLG2	NCBP1	MC1R	LRRN2	IRAK2	C6orf89	RFC3	RP11-1035H13.3	ZNF710	TRAP1	6
NFATC2IP	NAT10	POLG2	NCBP1	PRDM7	PPP1R12B	RPL32	STK38	RFC3	PARN	TTLL13	TRAP1	6
EIF3C	NAT10	TLK2	NCBP1	SPIRE2	LRRN2	NUP210	STK38	RFC3	ARL6IP1	ZNF710	PAM16	6
EIF3C	NAT10	RPS6KB1	NCBP1	TCF25	PPP1R12B	LSM3	STK38	RFC3	ARL6IP1	ZNF710	PAM16	7
EIF3C	NAT10	POLG2	NCBP1	TCF25	PPP1R12B	IRAK2	STK38	RFC3	ARL6IP1	TTLL13	TRAP1	7
EIF3C	NAT10	APPBP2	NCBP1	TCF25	PPP1R12B	IRAK2	MAPK13	RFC3	ARL6IP1	ZNF710	TRAP1	7
EIF3C	NAT10	POLG2	NCBP1	TCF25	SLC45A3	LSM3	STK38	RFC3	ARL6IP1	TTLL13	PAM16	7
EIF3C	NAT10	CSHL1	NCBP1	MC1R	OPTC	RPL32	MAPK13	RFC3	ARL6IP1	GDPGP1	PAM16	7
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LAX1	IRAK2	STK38	RFC3	ARL6IP1	NR2F2	PAM16	7
