Name: bin, dtype: int64
(0.999, 2.0]          1821
(5.0, 7.0]             698
(2.0, 3.0]             599
(12.0, 15.0]           586
(24.0, 29.0]           564
(17.0, 21.0]           556
(3.0, 4.0]             519
(56.0, 66.0]           507
(8.0, 10.0]            505
(47.0, 56.0]           493
(195.0, 212.0]         492
(77.0, 90.0]           485
(435.543, 595.0]       484
(105.0, 122.0]         483
(165.0, 195.0]         483
(351.314, 435.543]     481
(212.0, 232.0]         481
(287.0, 351.314]       480
(595.0, 10114.0]       479
(141.0, 165.0]         478
(122.0, 141.0]         474
(90.0, 105.0]          472
(4.0, 5.0]             469
(232.0, 287.0]         467
(10.0, 12.0]           466
(34.0, 40.0]           461
(66.0, 77.0]           451
(29.0, 34.0]           448
(40.0, 47.0]           443
(21.0, 24.0]           365
(15.0, 17.0]           353
(7.0, 8.0]             301
