0	1	2	3	4	5	6	7	8	9	10	11	density
PLK1	TCP11L1	RPS6KB1	CDC14B	AC133919.6	CDK18	IRAK2	CLPSL1	DCLK1	SMG1	CHD2	TRAP1	6
CHP2	SVIP	PPM1D	CDC14B	DBNDD1	CDK18	IRAK2	MAPK14	CCDC169	SMG1	IDH2	TRAP1	6
ATP2A1	WT1	PPM1D	CDC14B	DBNDD1	CDK18	IRAK2	MAPK13	ELF1	SMG1	FES	TRAP1	7
CHP2	LGR4	RAD51C	CDC14B	DBNDD1	CDK18	IRAK2	MAPK13	DCLK1	SMG1	ST8SIA2	TRAP1	7
CHP2	LGR4	RAD51C	CDC14B	PRDM7	ADIPOR1	IRAK2	MAPK13	DCLK1	SMG1	FES	TRAP1	7
CHP2	LGR4	RGS9	CDC14B	FANCA	CDK18	IRAK2	RAB44	DCLK1	SMG1	UNC45A	TRAP1	8
CHP2	LGR4	MAP3K3	CDC14B	AC133919.6	CDK18	AC034193.1	MAPK13	DCLK1	SMG1	KIF7	TRAP1	8
CHP2	LGR4	MAP3K3	CDC14B	FANCA	CDK18	IRAK2	MAPK13	DCLK1	SMG1	IDH2	TRAP1	8
AQP8	LGR4	RAD51C	CDC14B	SPIRE2	CDK18	IRAK2	MAPK13	RFC3	PDXDC1	ZNF710	TRAP1	8
CHP2	LGR4	RPS6KB1	CDC14B	C16orf3	CDK18	IRAK2	MAPK13	UFM1	SMG1	ZNF774	TRAP1	8
CHP2	LGR4	APPBP2	CDC14B	DBNDD1	CDK18	IRAK2	MAPK14	LHFP	SMG1	ZNF774	TRAP1	8
CHP2	LGR4	MAP3K3	CDC14B	PRDM7	CDK18	BRK1	MAPK14	DCLK1	SMG1	ZNF774	TRAP1	8
NUPR1	LGR4	MAP3K3	CDC14B	DBNDD1	CDK18	IRAK2	MAPK13	DCLK1	SMG1	CIB1	TRAP1	8
CHP2	LGR4	CSH2	CDC14B	DBNDD1	CDK18	IRAK2	MAPK13	DCLK1	SMG1	IDH2	TRAP1	8
CHP2	LGR4	CEP112	CDC14B	CENPBD1	CDK18	IRAK2	MAPK14	DCLK1	SMG1	ZNF710	TRAP1	8
CHP2	LGR4	MAP3K3	CDC14B	PRDM7	UBE2T	IRAK2	MAPK13	DCLK1	SMG1	ZNF710	TRAP1	8
CHP2	CCDC73	RAD51C	CDC14B	DBNDD1	CDK18	IRAK2	MAPK13	DCLK1	C16orf45	ZNF710	TRAP1	8
CHP2	LGR4	MAP3K3	CDC14B	DBNDD1	CDK18	RAF1	MAPK13	DCLK1	SMG1	ZNF774	TRAP1	8
CHP2	HIPK3	RAD51C	TSTD2	SPIRE2	CDK18	IRAK2	MAPK13	DCLK1	SMG1	ZNF774	TRAP1	8
CHP2	LGR4	PRKCA	CDC14B	DBNDD1	CDK18	IRAK2	MAPK13	DCLK1	SMG1	PRC1	TRAP1	8
TNRC6A	LGR4	RAD51C	CDC14B	C16orf3	CDK18	IRAK2	MAPK13	DCLK1	SMG1	POLG	TRAP1	8
CHP2	LGR4	MAP3K3	CDC14B	AC133919.6	CDK18	IRAK2	MAPK13	RFXAP	SMG1	MESP1	TRAP1	9
NSMCE1	LGR4	APPBP2	CDC14B	CENPBD1	CDK18	IRAK2	MAPK13	DCLK1	SMG1	PRC1	TRAP1	9
CHP2	HIPK3	MAP3K3	CDC14B	FANCA	CDK18	IRAK2	MAPK14	DCLK1	SMG1	ARRDC4	TRAP1	9
CHP2	LGR4	PPM1E	CDC14B	TCF25	LRRN2	IRAK2	MAPK13	DCLK1	SMG1	ZNF774	TRAP1	9
CHP2	LGR4	GH1	CDC14B	SPIRE2	CDK18	IRAK2	MAPK13	DCLK1	SMG1	PRC1	TRAP1	9
CHP2	HIPK3	RNFT1	CDC14B	DBNDD1	CDK18	IRAK2	MAPK14	UFM1	SMG1	ZNF710	TRAP1	9
CHP2	LGR4	RAD51C	CDC14B	PRDM7	CDK18	IRAK2	MAPK13	DCLK1	MYH11	FES	NLRC3	9
NPIPL1	DNAJC24	RP11-178C3.1	CDC14B	FANCA	CDK18	IRAK2	MAPK14	DCLK1	SMG1	PRC1	CORO7-PAM16	9
CHP2	LGR4	MARCH10	CDC14B	RP11-356C4.2	CDK18	IRAK2	MAPK14	BRCA2	SMG1	ZNF774	CARHSP1	9
CHP2	LGR4	RAD51C	CDC14B	MC1R	CDK18	IRAK2	MAPK13	DCLK1	SMG1	AC087477.1	TRAP1	9
CHP2	LGR4	MAP3K3	ERP44	SPIRE2	CDK18	IRAK2	MAPK13	DCLK1	SMG1	AP3S2	NUDT16L1	9
CHP2	LGR4	C17orf64	CDC14B	FANCA	CDK18	IRAK2	MAPK13	DCLK1	SMG1	CIB1	TRAP1	9
CHP2	LGR4	GDPD1	CDC14B	DEF8	CYB5R1	IRAK2	MAPK14	DCLK1	SMG1	ZNF774	TRAP1	9
CHP2	LGR4	APPBP2	CDC14B	FANCA	CDK18	MRPS25	MAPK14	DCLK1	SMG1	PRC1	TRAP1	9
CHP2	LGR4	C17orf64	CDC14B	C16orf3	CDK18	IRAK2	MAPK13	DCLK1	SMG1	PRC1	TRAP1	9
CD19	LGR4	MAP3K3	CDC14B	SPIRE2	CDK18	IRAK2	MAPK13	DCLK1	MKL2	ZNF774	TRAP1	9
CHP2	LGR4	GH1	CDC14B	DBNDD1	CDK18	IRAK2	MAPK14	VWA8	SMG1	FANCI	AC012676.1	9
CHP2	LGR4	PPM1E	CDC14B	CENPBD1	CDK18	IRAK2	MAPK13	DCLK1	SMG1	ZNF710	TRAP1	9
GTF3C1	METTL15	MAP3K3	CDC14B	FANCA	CDK18	IRAK2	MAPK14	DCLK1	SMG1	ZNF774	TRAP1	9
CHP2	HIPK3	RAD51C	CDC14B	AC133919.6	CDK18	IRAK2	MAPK14	DCLK1	SMG1	AC016251.1	TRAP1	9
CHP2	LGR4	ICAM2	CDC14B	C16orf3	CDK18	IRAK2	MAPK13	DCLK1	AC092291.2	NR2F2	TRAP1	9
CHP2	HIPK3	RPS6KB1	CDC14B	FANCA	CDK18	IRAK2	MAPK13	NAA16	SMG1	PRC1	TRAP1	9
CHP2	LGR4	MAP3K3	CDC14B	RP11-356C4.2	CDK18	IRAK2	MAPK13	DCLK1	SMG1	PEX11A	TRAP1	9
NFATC2IP	HIPK3	MAP3K3	CDC14B	GAS8	CDK18	IRAK2	MAPK14	DCLK1	SMG1	ZNF774	NUDT16L1	9
CHP2	EHF	FTSJ3	CDC14B	SPIRE2	AC119673.1	IRAK2	MAPK14	DCLK1	SMG1	KIF7	TRAP1	9
CHP2	LGR4	CEP112	CDC14B	SPIRE2	CDK18	BRK1	MAPK14	DCLK1	SMG1	ANPEP	TRAP1	9
SLC5A11	LGR4	CTD-2535L24.2	CDC14B	DBNDD1	CDK18	IRAK2	MAPK13	DCLK1	SMG1	ZNF710	TRAP1	9
BOLA2	LGR4	MAP3K3	CDC14B	SPIRE2	CDK18	IRAK2	MAPK13	DCLK1	SMG1	ZNF710	TRAP1	10
CHP2	LGR4	APPBP2	CDC14B	AC133919.6	CDK18	IRAK2	MAPK14	DCLK1	SMG1	ZNF710	TRAP1	10
CHP2	PAX6	PRKCA	CDC14B	MC1R	CDK18	IRAK2	MAPK13	DCLK1	SMG1	SV2B	TRAP1	10
CHP2	LGR4	MAP3K3	CDC14B	C16orf3	CDK18	TSEN2	MAPK14	DCLK1	TMC7	PRC1	TRAP1	10
CHP2	LGR4	RPS6KB1	CDC14B	SPIRE2	CDK18	IRAK2	MAPK14	FOXO1	SMG1	MESP1	TRAP1	10
CHP2	LGR4	PSMC5	CDC14B	MC1R	CDK18	TMEM43	MAPK14	CCDC169-SOHLH2	RPS15A	AC087477.1	TRAP1	10
CHP2	LGR4	MAP3K3	CDC14B	DEF8	CDK18	AC034193.1	MAPK14	DCLK1	SMG1	PRC1	TRAP1	10
CHP2	PAX6	RAD51C	CDC14B	DBNDD1	CDK18	IRAK2	MAPK13	DCLK1	SMG1	KIF7	TRAP1	10
CHP2	LGR4	CEP95	TMOD1	AC133919.6	CDK18	IRAK2	MAPK14	PDS5B	SMG1	ST8SIA2	TRAP1	10
CHP2	LGR4	ERN1	CDC14B	FANCA	CDK18	IRAK2	MAPK14	RFC3	SMG1	ZNF710	TRAP1	10
CHP2	LGR4	MAP3K3	CDC14B	SPIRE2	CDK18	IRAK2	MAPK14	DCLK1	SMG1	ZNF774	TRAP1	10
CHP2	LGR4	MAP3K3	CDC14B	DBNDD1	CDK18	IRAK2	MAPK14	CCDC169-SOHLH2	IQCK	ZNF774	TRAP1	10
