0 1 2 3 4 5 6 7 8 9 10 11
XPO6 FBXO3 C17orf64 CORO2A DEF8 CNTN2 RPL32 FANCE FREM2 PARN ANPEP CDIP1
KDM8 CAT DDX5 NR4A3 GAS8 PPFIA4 BRK1 TULP1 SERTM1 RPS15A MESP1 RP11-127I20.4
PLK1 SVIP GDPD1 NANS AC133919.6 SOX13 FANCD2 SLC26A8 SERTM1 NPIPP1 SEMA4B HMOX2
NSMCE1 RP11-17A1.2 PRR11 MRPL50 DBNDD1 PPP1R12B MKRN2 MAPK13 NAA16 PARN SPATA8 VASN
APOBR EIF3M POLG2 SLC35D2 DEF8 MYBPH ATP2B2 KCNK5 POSTN GPRC5B MESP2 NMRAL1
IL21R HIPK3 AC005544.1 MURC AC133919.6 NUAK2 RPL32 MAPK14 BRCA2 C16orf62 CHD2 RP11-127I20.4
NPIPL1 BBOX1 TLK2 TMOD1 MC1R CYB5R1 CHCHD4 KCNK17 STOML3 CLEC19A IQGAP1 EMP2
LCMT1 IMMP1L PRKCA DKFZP434H0512 FANCA LAX1 FANCD2 SRSF3 DCLK1 TMC5 RGMA TMEM186
CTB-134H23.2 AC103801.2 TBX4 XPA RP11-356C4.2 PIK3C2B PPARG MDGA1 KBTBD6 RP11-1212A22.2 FURIN ROGDI
IL4R NAT10 CSHL1 NCBP1 MC1R CHI3L1 TMEM40 CCDC167 NBEA PARN BLM SLX4
PALB2 SVIP CEP112 ZNF782 MC1R CHIT1 ATP2B2 FTSJD2 N4BP2L1 NOMO2 FES CORO7-PAM16
CTB-134H23.2 ANO5 CSH2 HABP4 CENPBD1 LRRN2 PPARG CCDC167 WBP4 CTD-2349B8.1 VPS33B TRAP1
EIF3C CCDC73 RNFT1 ANKS6 PRDM7 BTG2 CCDC174 MAPK14 STARD13 NDE1 SPATA8 GLYR1
KIAA0556 LGR4 POLG2 MSANTD3 SPIRE2 LAX1 LSM3 PI16 NAA16 RP11-1212A22.2 ZNF710 SEPT12
AQP8 MPPED2 GDPD1 MURC FANCA SLC45A3 HRH1 CLPSL2 CCNA1 GP2 FURIN CREBBP
EIF3C AC132216.1 C17orf82 ZNF367 FANCA CNTN2 TIMP4 ZFAND3 PROSER1 RP11-467M13.1 ST8SIA2 SEC14L5
SBK1 NAT10 CACNG5 ZNF367 CENPBD1 ETNK2 IRAK2 RNF8 FREM2 NOMO2 UNC45A CDIP1
TUFM BDNF RPS6KB1 CTSL2 CENPBD1 CDK18 SLC6A11 RNF8 KL ABCC1 BLM DNAJA3
PALB2 CSTF3 BRIP1 MURC SPIRE2 LAX1 COLQ GLP1R MAB21L1 CCP110 TICRR UBN1
TUFM FIBIN LIMD2 MRPL50 C16orf3 ELK4 SLC6A11 RAB44 MAB21L1 NTAN1 RP11-697E2.6 ABAT
CTB-134H23.2 METTL15 NACA2 BAAT CENPBD1 TMEM81 TSEN2 RNF8 KL ERCC4 NR2F2 FAM86A
CTB-134H23.2 LUZP2 AXIN2 AAED1 CENPBD1 PLEKHA6 HRH1 LHFPL5 N4BP2L2 AC092291.2 CHD2 TMEM186
EIF3CL LUZP2 TANC2 ZNF510 DEF8 ATP2B4 IRAK2 PPIL1 KL RRN3 PEX11A ROGDI
NPIPL1 ELP4 ICAM2 CTSL2 FANCA MYOG MKRN2-AS1 C6orf89 RGCC RPS15A CIB1 UBN1
NFATC2IP RCN1 CA4 NR4A3 CENPBD1 PLEKHA6 FANCD2 SLC26A8 BRCA2 CLEC19A SPATA8 EMP2
ATXN2L ELF5 CEP112 HABP4 TCF25 ZC3H11A ZFYVE20 CLPSL2 KBTBD6 BFAR PRC1 ABAT
SLC5A11 CD59 DHX40 TMOD1 C16orf3 PPP1R15B VHL CLPS AL133318.1 ERCC4 GABARAPL3 ATF7IP2
CACNG3 CCDC73 MED13 NANS DBNDD1 BTG2 CAND2 DAAM2 FOXO1 ABCC1 FES AC012676.1
KDM8 MUC15 MED13 AAED1 C16orf3 CDK18 SLC6A11 KCNK16 RFXAP RPS15A GDPGP1 RP11-297M9.1
SH2B1 CD59 APPBP2 TMEFF1 SPIRE2 KLHDC8A RAF1 PIM1 PROSER1 GPR139 SEMA4B EMP2
DCTN5 FIBIN PRKCA MURC TCF25 CHI3L1 TPRXL C6orf89 RP11-298P3.4 RP11-1035H13.3 GABARAPL3 TFAP4
BOLA2 C11orf91 RPS6KB1 FANCC MC1R ELK4 TMEM40 CCDC167 RFXAP ERCC4 AP3S2 SLX4
GSG1L PAX6 LRRC37A3 TGFBR1 MC1R SYT2 C3orf20 FANCE POSTN NDE1 CIB1 FAM86A
CTB-134H23.2 SLC5A12 RP11-178C3.1 HSD17B3 GAS8 MYBPH GHRL COX6A1P2 POSTN RRN3 C15orf38 ANKS3
ZKSCAN2 BDNF RGS9 TMEFF1 FANCA CDK18 TPRXL RAB44 TRPC4 RP11-1035H13.3 C15orf32 C16orf89
SPNS1 CSTF3 KCNH6 NR4A3 RP11-356C4.2 ETNK2 FANCD2 PNPLA1 CCNA1 NOMO1 RP11-82I10.1 ABAT
SULT1A1 LUZP2 RAD51C DKFZP434H0512 DBNDD1 MFSD4 XPC ETV7 VWA8 FOPNL MAN2A2 CDIP1
CCDC101 FIBIN SMARCD2 ERCC6L2 AC133919.6 NUAK2 TIMP4 PI16 TRPC4 PARN C15orf32 GLIS2
