0	1	2	3	4	5	6	7	8	9	10	11	density
UCK1	ICT1	KDM5B	MED14	DOK5	MASP2	DDI1	UBC	ZNF14	ZNF135	IRX5	STX4	9
HACE1	BMP2K	COX6B2	SPRY2	STOX1	ZNF259	DDI1	PPP2CA	ZNF14	GPBP1L1	ZNF665	TTF1	10
HACE1	BMP2K	KDM5B	NOM1	STOX1	MTA3	DDI1	SMPX	ZNF14	DGKB	ZNF665	HDDC3	11
HACE1	BMP2K	KDM5B	NOM1	STOX1	MTA3	DDI1	UBC	ATG5	WDR37	RNF181	MBTPS2	11
HACE1	BMP2K	KDM5B	MED14	PRR5	ZNF259	VAMP1	UBC	ZNF14	ZNF135	RNF181	STX4	12
HACE1	BMP2K	CARHSP1	MED14	STOX1	C1GALT1	DEFB103B	UBC	ZNF14	ZNF135	RNF181	STX4	13
HACE1	BMP2K	WDR16	ZNF467	STOX1	CABIN1	DDI1	TMEM74	NPY1R	PDE4B	PITRM1	SZRD1	13
HACE1	BMP2K	KDM5B	MED14	STOX1	SOX10	DDI1	UBC	ZNF14	GRXCR1	SLC6A14	HDDC3	13
HACE1	BMP2K	KDM5B	MED14	PRR5	MTA3	DDI1	SMPX	ZNF14	PDE4B	ZNF665	STX4	13
HACE1	TEFM	KCND3	ZNF467	STOX1	C1GALT1	DDI1	UBC	ZNF14	PDE4B	IRX5	STX4	14
NT5C1B	ERGIC1	KDM5B	SPRY2	STOX1	C1GALT1	DDI1	UBC	ZNF14	ZNF135	ZNF665	SCUBE3	14
HACE1	BMP2K	KDM5B	MTMR1	STOX1	MTA3	DDI1	UBC	ZNF14	LRRC49	DMRTA2	IPMK	14
HACE1	ICT1	KDM5B	MED14	STOX1	BFSP1	DDI1	UBC	ZNF14	LRRC49	ZNF665	DUSP11	14
HACE1	BMP2K	KDM5B	PCDHB5	LDOC1	MTA3	DDI1	ITSN2	ZNF14	PDE4B	RDH13	STX4	14
HACE1	ERGIC1	KDM5B	SPRY2	STOX1	MTA3	DDI1	UBC	ZNF14	PDE4B	SLC6A14	STX4	14
VCAN	BMP2K	SLC1A5	C1QBP	STOX1	MTA3	DDI1	UBC	ZNF14	PDE4B	ZNF665	AJUBA	15
WBSCR27	BMP2K	KDM5B	MED14	LDOC1	MTA3	DDI1	UBC	PLEKHM1	ZNF135	ZNF665	STX4	15
HACE1	ICT1	SLC1A5	MED14	STOX1	DCHS1	DDI1	UBC	ZNF14	LRRC49	ZNF665	STX4	15
HACE1	BMP2K	KDM5B	MED14	STOX1	DCHS1	DDI1	UBC	HDAC4	GRXCR1	ZNF665	STX4	15
HACE1	BMP2K	DTL	ITGA8	STOX1	C1GALT1	RCC1	UBC	ZNF14	PDE4B	ZXDA	STX4	15
HACE1	BORA	DTL	MED14	PRR5	MTA3	DNAJA3	UBC	ZNF14	PDE4B	ZNF665	STX4	15
