0	1	2	3	4	5	6	7	8	9	10	11
LCMT1	IMMP1L	C17orf72	NCBP1	PRDM7	UBE2T	TSEN2	PNPLA1	N4BP2L1	RP11-719K4.2	ARRDC4	NMRAL1
KIAA0556	FANCF	VMP1	ZNF189	SPIRE2	PIK3C2B	COLQ	GLO1	DGKH	GPRC5B	MAN2A2	FAM100A
EIF3C	FBXO3	TBX2	ANP32B	DBNDD1	UBE2T	EAF1	BRPF3	FAM48A	TMC5	TICRR	METTL22
CHP2	CD59	RGS9	TEX10	MC1R	SLC45A3	VGLL4	PPIL1	KBTBD7	FOPNL	ZNF774	PMM2
PRKCB	MPPED2	POLG2	TBC1D2	FANCA	RABIF	TSEN2	CLPS	SERTM1	NOMO3	PLIN1	RBFOX1
SH2B1	CD59	TEX2	HSD17B3	TCF25	NFASC	TIMP4	KIF6	SMAD9	NOMO1	WDR93	CDIP1
NPIPL1	EHF	CTD-2535L24.2	TEX10	DEF8	SLC45A3	SH3BP5	CDKN1A	SPG20	ARL6IP1	MCTP2	ATF7IP2
APOBR	CAT	MED13	XPA	C16orf3	TMEM81	ATG7	RAB44	POSTN	RP11-719K4.2	ZNF774	ROGDI
SULT1A1	BDNF	KCNH6	ANP32B	DBNDD1	ELK4	ATG7	CLPS	NBEA	BFAR	WDR93	CORO7
NFATC2IP	CSTF3	C17orf72	MRPL50	FANCA	TMEM183A	HDAC11	CPNE5	AL133318.1	XYLT1	MCTP2	GLIS2
AQP8	LUZP2	SMARCD2	CORO2A	FANCA	BTG2	RPL32	C6orf222	PROSER1	SMG1	ARRDC4	NUDT16L1
IL4R	ARL14EP	CTD-2510F5.6	TGFBR1	DBNDD1	ZBED6	CHCHD4	KIF6	KL	SYT17	RGMA	PAM16
XPO6	EHF	POLG2	PTCH1	FANCA	TMCC2	NUP210	CLPSL2	SPG20	AC092291.2	MAN2A2	GRIN2A
NPIPL1	FANCF	SKA2	CDC14B	CENPBD1	PIK3C2B	VHL	LHFPL5	FOXO1	TMC5	IQGAP1	SEPT12
SLC5A11	DCDC5	CLTC	CORO2A	DEF8	LRRN2	VHL	FTSJD2	AL133318.1	C16orf88	PEX11A	TRAP1
SULT1A2	CCDC34	CCDC47	ZNF189	C16orf3	NUAK2	IQSEC1	CLPSL1	KL	PDILT	NGRN	PPL
IL21R	FANCF	RGS9	STX17	TCF25	PRELP	CAND2	C6orf222	BRCA2	ERCC4	GDPGP1	TRAP1
PRKCB	ELF5	CD79B	ERP44	MC1R	MYOG	IRAK2	MAPK13	SERTM1	CLEC19A	SEMA4B	TRAP1
GTF3C1	METTL15	PPM1D	NR4A3	PRDM7	LGR6	PPARG	MTCH1	FOXO1	PDXDC1	ZNF774	NMRAL1
NPIPL1	EHF	PRKCA	LPPR1	TCF25	DSTYK	BTD	COX6A1P2	KBTBD7	BFAR	KIF7	PMM2
SULT1A1	CD59	KCNH6	ZNF367	AC133919.6	TMCC2	TAMM41	CLPSL1	CCDC169-SOHLH2	SYT17	AC112693.2	TFAP4
ERN2	EIF3M	CD79B	ZNF189	TCF25	CHIT1	TAMM41	SAYSD1	KL	ARL6IP1	PEX11A	NUDT16L1
KIAA0556	CD59	TLK2	BAAT	PRDM7	LRRN2	TMEM40	C6orf222	SPG20	RRN3	AC112693.2	RP11-127I20.4
PALB2	ELF5	GDPD1	INVS	GAS8	REN	HRH1	CCDC167	KBTBD7	RP11-719K4.1	SLCO3A1	AC012676.1
